,comments
382,Entered. JM; FLR 165033-034; related CWT 090877; Grp ID C003 hme
383,ESJ01 RightEye Green + CWT in Snout or CWT in snout + PIT tag
384,ESJ02 LeftEye Green + CWT in Snout or CWT in snout + PIT tag
385,ESJ03 RightEye Green + CWT in Snout or CWT in snout + PIT tag
386,ESJ04 LeftEye Green + CWT in Snout or CWT in snout + PIT tag
387,ESJ05 RightEye Green + CWT in Snout or CWT in snout + PIT tag
388,ESJ06 LeftEye Green + CWT in Snout or CWT in snout + PIT tag
389,Est. 377 CWT only fish ad clipped due to screen issue.
401,"EXPT RELEASE IN RESERVIOR;FLR 149524, MONGOLD BOAT RAMP, TOM FRIESEN WMBIOP; HME"
402,Feed Study RM 10
403,Ferry Cr Acc
404,Fish from Lyons Ferry Hatchery Washington; FLR 157472 157570;near Cougar Ck
405,"Fish healthy, high water release-muddy"
406,Fish in good health. River little high and colored. 20 or so small ones @ 300/lb
407,FISH MOVE AND SUBSEQUENT RELEASE TIMING DELAYED DUE TO FISH HEALTH ISSUES AND LONGER THAN NORMAL MASS MARKING PROJECT DURATION. FISH RELEASED VOLITIONALLY. REMAINING FISH FORCED OUT 4/26/21 (AROUND 15
408,FISH MOVED FROM ELK RIVER HATCHERY TO   FERRY CR ACCLIMATION;      HME
409,FISH RELEASED BELOW CHAMBERS TRAP LADDER ON AFTERNOON FLOOD TIDE (9.19' HIGH). FISH RELEASED IN AUGUST TO ALLOW FOR CONSTRUCTION TO BEGIN AT GARRISON.
410,fish vaccinated
411,FISH WERE RELEASED @ DRNP SITE AND WERE NOT TOWED OUT THIS YEAR.
412,FisRelBelHelCanDam FLRs:150887 - 150894.
413,FLOOD AND MUD SLIDE FILLED POND 10 WITH MUD AND LOGS SO A EMERGENCY RELEASE WAS DONE ON POND #10
1039,FORCED NIGHT RELEASE.
1040,FROM MCKENZIE   - OTOLITH MARKS 6 REPETITIONS                        ENGELKING
1041,"From McKenzie Hat, FLR 155736 &155742  - 48378 no tag released 4/23/14"
1042,FROM SO SANTIAM HATCHERY;ASSOC 090373   ;C023 FLR144157 144158       HME
