"","tag_code","run_year","recovery_date","fishery","number_cwt_estimated","related_group_id","run","brood_year","cwt_total","recovery_location_name","stock_location_name","release_location_state","release_location_rmis_region","release_location_rmis_basin","recovery_location_code","hatchery_location_name","hatchery_location_code","first_release_date","release_stage","comments","avg_length","avg_weight","recovery_rmis_region","release_year"
"33","635764",2013,20130620,11,1.28,"04201100000621",3,2010,200099,"AK M 1 NE 109-10","PRIEST RAPIDS   (36)","WA","UPCR","MNPR","1M1NE109^10","PRIEST RAPIDS HATCHERY","3F42001^^360126^H",20110615,"","BO=MIXED(HxW)",92,9.48,"SEAK",2011
"34","635979",2013,20131022,10,3.85,"",8,2010,279128,"AK M 1 NW 113-41","LTL WHITE SALMON-NFH","WA","CECR","KLIC","1M1NW113^41","KLICKITAT HATCHERY (YKFP)","3F42001^^300002^H",20110606,"S","AD+CWT",76,5.15,"SEAK",2011
"35","635699",2013,20130706,10,0,"04201100000621",3,2010,204091,"AK M 1","PRIEST RAPIDS   (36)","WA","UPCR","MNPR","1M1","PRIEST RAPIDS HATCHERY","3F42001^^360126^H",20110615,"","BO=MIXED(HxW)",92,9.48,"WEAK",2011
"36","635775",2013,20130706,10,0,"",2,2010,438216,"AK M 1","WELLS HATCHERY","WA","UPCR","PRGC","1M1","WELLS HATCHERY","3F42001^^470001^H02",20110519,"","BO=MIXED(HxW)",89,9.94,"WEAK",2011
"37","210960",2013,20130706,10,0,"",3,2010,162280,"AK M 1","QUEETS R     21.0016","WA","NWC","QEQU","1M1","SALMON R FISH CULTUR","3F21703^^210139^H",20110727,"S","",NA,10.6,"WEAK",2011
"38","635978",2013,20131017,10,3.85,"",8,2010,182195,"AK M 1 NW 113-41","LTL WHITE SALMON-NFH","WA","CECR","KLIC","1M1NW113^41","KLICKITAT HATCHERY (YKFP)","3F42001^^300002^H",20110606,"S","AD+CWT",76,5.15,"SEAK",2011
"39","635979",2013,20131017,10,3.85,"",8,2010,279128,"AK M 1 NW 113-41","LTL WHITE SALMON-NFH","WA","CECR","KLIC","1M1NW113^41","KLICKITAT HATCHERY (YKFP)","3F42001^^300002^H",20110606,"S","AD+CWT",76,5.15,"SEAK",2011
"40","635998",2013,20131017,10,3.85,"",3,2010,200785,"AK M 1 NW 113-41","SNAKE R-LOWR 33.0002","WA","SNAK","LOSN","1M1NW113^41","LYONS FERRY HATCHERY","3F42001^^330002^H01",20110601,"","BO=MIXED(HxW)",91,9.07,"SEAK",2011
"41","635998",2013,20131022,10,3.85,"",3,2010,200785,"AK M 1 NW 113-41","SNAKE R-LOWR 33.0002","WA","SNAK","LOSN","1M1NW113^41","LYONS FERRY HATCHERY","3F42001^^330002^H01",20110601,"","BO=MIXED(HxW)",91,9.07,"SEAK",2011
"42","210958",2013,20131015,10,3.85,"",2,2010,175422,"AK M 1 NW 113-41","STILLAGUAMISH R -NF","WA","NPS","STIL","1M1NW113^41","WHITEHORSE POND","3F10308^^050254AH",20110408,"G","",NA,4.54,"SEAK",2011
