"","release_location_name","run","region","avg_releases","relative_ranking","release_location_rmis_region","release_location_rmis_basin","comment"
"104","LYONS FERRY HATCHERY","","",NA,NA,"","",""
"105","MAKAH NFH ON TSOO-YESS R","","",NA,NA,"NWC","QUHO",""
"106","MAMOYA POND HATCHERY","","",NA,NA,"","",""
"107","MARION YAKAMA TRIB HAT","","",NA,NA,"UPCR","YAKI",""
"108","MAYR BROTHERS REARIN","","",NA,NA,"","",""
"109","MCALLISTER HATCHERY","","",NA,NA,"","",""
"110","MCALLISTER SPRINGS HATCH","","",NA,NA,"SPS","NISQ",""
"111","MCKENZIE HATCHERY","","",NA,NA,"LOCR","WILL",""
"112","MCKERNAN HATCHERY","","",NA,NA,"HOOD","SKDO",""
"113","METHOW HATCHERY","","",NA,NA,"UPCR","MEOK",""
"114","MORSE CREEK HATCHERY","","",NA,NA,"JUAN","ELDU",""
"115","NARROWS MARINA PENS","","",NA,NA,"SPS","CHAM",""
"116","NASON CREEK ACC FACILITY","","",NA,NA,"UPCR","WECH",""
"117","NEMAH HATCHERY","","",NA,NA,"WILP","NASE",""
"118","NF SKOKOMISH HATCHERY","","",NA,NA,"HOOD","SKDO",""
"119","NORTH TOUTLE HATCHERY","","",NA,NA,"LOCR","COWL",""
"120","NWSSC-EVERETT N PEN","","",NA,NA,"","",""
"121","OAK HARBOR NET PENS","","",NA,NA,"","",""
"122","PALMER HATCHERY","","",NA,NA,"MPS","DUWA",""
"123","PERCIVAL COVE NET PN","","",NA,NA,"","",""
"124","PLEASANT HARBOR NP","","",NA,NA,"","",""
"125","POINT DEFIANCE NET PENS","","",NA,NA,"MPS","PUYA",""
"126","PORTAGE BAY HATCHERY","","",NA,NA,"","",""
"127","PRIEST RAPIDS HATCHERY","","",NA,NA,"UPCR","MNPR",""
"128","PROSSER HATCHERY","","",NA,NA,"UPCR","YAKI",""
"129","PUYALLUP TRIBAL HATCHERY","","",NA,NA,"MPS","PUYA",""
"130","QUILCENE NFH","","",NA,NA,"","",""
"131","QUINAULT NFH -COOK C","","",NA,NA,"","",""
"132","REITER PONDS","","",NA,NA,"NPS","SNOH",""
"133","RFEG 6 HOOD CANAL","","",NA,NA,"HOOD","SKDO",""
"134","RICKS PD (LLTK)","","",NA,NA,"","",""
"135","RINGOLD SPRINGS HATCHERY","","",NA,NA,"UPCR","",""
"136","SALMON R FISH CULTUR","","",NA,NA,"NWC","QEQU",""
"137","SATSOP SPRINGS PONDS","","",NA,NA,"","",""
"138","SEA RESOURCES HATCH","","",NA,NA,"","",""
"139","SIMILKAMEEN HATCHERY","","",NA,NA,"UPCR","MEOK",""
"140","SNAKE R@PITT. LNDG","","",NA,NA,"","",""
"141","SOUTH SOUND NET PENS","","",NA,NA,"","",""
"142","SPEELYAI HATCHERY","","",NA,NA,"LOCR","LEWI",""
"143","SUND ROCK NET PENS","","",NA,NA,"","",""
"144","TUCANNON HATCHERY","","",NA,NA,"SNAK","LOSN",""
"145","TUMWATER FALLS HATCHERY","","",NA,NA,"SPS","DES",""
"146","TURTLE ROCK HATCHERY","","",NA,NA,"","",""
"147","TWISP ACCLIMATION PD","","",NA,NA,"UPCR","MEOK",""
"148","UMATILLA HATCHERY","","",NA,NA,"CECR","UMAT",""
"149","UPR DUNGENESS ACC PD","","",NA,NA,"JUAN","ELDU",""
"150","USFWS ABERNATHY FISH TECH","","",NA,NA,"","",""
"151","VOIGHTS CR HATCHERY","","",NA,NA,"MPS","PUYA",""
"152","WASHOUGAL HATCHERY","","",NA,NA,"LOCR","SAWA",""
"153","WEBSTER'S HATCHERY","","",NA,NA,"","",""
"154","WELLS DAM SP CHANNEL","","",NA,NA,"","",""
"155","WHITE SALMON R POND","","",NA,NA,"","",""
"156","WHITEHORSE POND","","",NA,NA,"NPS","STIL",""
"157","WILLAPA ALLIANCE NP","","",NA,NA,"","",""
"158","WILLARD NFH","","",NA,NA,"CECR","WIND",""
"159","WINTHROP NFH","","",NA,NA,"UPCR","MEOK",""
"160","ˀIMTWAHA FISH HATCHERY","","",NA,NA,"","",""
